major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
36,3,chol_block,RK_UPDATE_A_3_3,VECTOR_MAC,3,3.00,1.00,1.00,1.00,RK_UPDATE_3_3_0|RK_UPDATE_3_3_1|RK_UPDATE_3_3_2
37,3,chol_block,RK_UPDATE_A_3_4,VECTOR_MAC,3,3.00,1.00,1.00,1.00,RK_UPDATE_3_4_0|RK_UPDATE_3_4_1|RK_UPDATE_3_4_2
38,3,chol_block,RK_UPDATE_A_3_5,VECTOR_MAC,3,3.00,1.00,1.00,1.00,RK_UPDATE_3_5_0|RK_UPDATE_3_5_1|RK_UPDATE_3_5_2
39,3,chol_block,RK_UPDATE_A_3_6,VECTOR_MAC,3,3.00,1.00,1.00,1.00,RK_UPDATE_3_6_0|RK_UPDATE_3_6_1|RK_UPDATE_3_6_2
40,3,chol_block,RK_UPDATE_A_3_7,VECTOR_MAC,3,3.00,1.00,1.00,1.00,RK_UPDATE_3_7_0|RK_UPDATE_3_7_1|RK_UPDATE_3_7_2
41,3,chol_block,TRSM_3_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIV_3_0
42,3,chol_block,TRSM_3_1,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,TRSM_DIV_3_1|TRSM_NUM_UPD_3_1_0
43,3,chol_block,TRSM_3_2,SCALAR_DIV|VECTOR_MAC,3,6.00,2.00,4.00,1.00,TRSM_DIV_3_2|TRSM_NUM_UPD_3_2_0|TRSM_NUM_UPD_3_2_1
44,4,chol_block,FWD_COL_0_ROW_4,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_4_0|FWD_OFF_UPD_4_0
45,4,chol_block,FWD_COL_1_ROW_4,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_4_1|FWD_OFF_UPD_4_1
46,4,chol_block,FWD_COL_2_ROW_4,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_4_2|FWD_OFF_UPD_4_2
47,4,chol_block,FWD_COL_3_ROW_4,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_4_3|FWD_OFF_UPD_4_3
48,4,chol_block,FWD_COL_4,SCALAR_DIV,1,4.00,4.00,4.00,4.00,FWD_DIAG_INV_4
49,4,chol_block,POTRF_DIAG_4,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_4
50,4,chol_block,POTRF_DIAG_A_4_4,VECTOR_MAC,4,4.00,1.00,1.00,1.00,POTRF_DIAG_UPD_4_0|POTRF_DIAG_UPD_4_1|POTRF_DIAG_UPD_4_2|POTRF_DIAG_UPD_4_3
51,4,chol_block,RK_UPDATE_A_4_4,VECTOR_MAC,4,4.00,1.00,1.00,1.00,RK_UPDATE_4_4_0|RK_UPDATE_4_4_1|RK_UPDATE_4_4_2|RK_UPDATE_4_4_3
52,4,chol_block,RK_UPDATE_A_4_5,VECTOR_MAC,4,4.00,1.00,1.00,1.00,RK_UPDATE_4_5_0|RK_UPDATE_4_5_1|RK_UPDATE_4_5_2|RK_UPDATE_4_5_3
53,4,chol_block,RK_UPDATE_A_4_6,VECTOR_MAC,4,4.00,1.00,1.00,1.00,RK_UPDATE_4_6_0|RK_UPDATE_4_6_1|RK_UPDATE_4_6_2|RK_UPDATE_4_6_3
54,4,chol_block,RK_UPDATE_A_4_7,VECTOR_MAC,4,4.00,1.00,1.00,1.00,RK_UPDATE_4_7_0|RK_UPDATE_4_7_1|RK_UPDATE_4_7_2|RK_UPDATE_4_7_3
55,4,chol_block,TRSM_4_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIV_4_0
56,4,chol_block,TRSM_4_1,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,TRSM_DIV_4_1|TRSM_NUM_UPD_4_1_0
57,4,chol_block,TRSM_4_2,SCALAR_DIV|VECTOR_MAC,3,6.00,2.00,4.00,1.00,TRSM_DIV_4_2|TRSM_NUM_UPD_4_2_0|TRSM_NUM_UPD_4_2_1
58,4,chol_block,TRSM_4_3,SCALAR_DIV|VECTOR_MAC,4,7.00,1.75,4.00,1.00,TRSM_DIV_4_3|TRSM_NUM_UPD_4_3_0|TRSM_NUM_UPD_4_3_1|TRSM_NUM_UPD_4_3_2
59,5,chol_block,FWD_COL_0_ROW_5,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_5_0|FWD_OFF_UPD_5_0
60,5,chol_block,FWD_COL_1_ROW_5,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_5_1|FWD_OFF_UPD_5_1
61,5,chol_block,FWD_COL_2_ROW_5,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_5_2|FWD_OFF_UPD_5_2
62,5,chol_block,FWD_COL_3_ROW_5,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_5_3|FWD_OFF_UPD_5_3
63,5,chol_block,FWD_COL_4_ROW_5,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_5_4|FWD_OFF_UPD_5_4
64,5,chol_block,FWD_COL_5,SCALAR_DIV,1,4.00,4.00,4.00,4.00,FWD_DIAG_INV_5
65,5,chol_block,POTRF_DIAG_5,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_5
66,5,chol_block,POTRF_DIAG_A_5_5,VECTOR_MAC,5,5.00,1.00,1.00,1.00,POTRF_DIAG_UPD_5_0|POTRF_DIAG_UPD_5_1|POTRF_DIAG_UPD_5_2|POTRF_DIAG_UPD_5_3|POTRF_DIAG_UPD_5_4
67,5,chol_block,RK_UPDATE_A_5_5,VECTOR_MAC,5,5.00,1.00,1.00,1.00,RK_UPDATE_5_5_0|RK_UPDATE_5_5_1|RK_UPDATE_5_5_2|RK_UPDATE_5_5_3|RK_UPDATE_5_5_4
68,5,chol_block,RK_UPDATE_A_5_6,VECTOR_MAC,5,5.00,1.00,1.00,1.00,RK_UPDATE_5_6_0|RK_UPDATE_5_6_1|RK_UPDATE_5_6_2|RK_UPDATE_5_6_3|RK_UPDATE_5_6_4
69,5,chol_block,RK_UPDATE_A_5_7,VECTOR_MAC,5,5.00,1.00,1.00,1.00,RK_UPDATE_5_7_0|RK_UPDATE_5_7_1|RK_UPDATE_5_7_2|RK_UPDATE_5_7_3|RK_UPDATE_5_7_4
70,5,chol_block,TRSM_5_0,SCALAR_DIV,1,4.00,4.00,4.00,4.00,TRSM_DIV_5_0
71,5,chol_block,TRSM_5_1,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,TRSM_DIV_5_1|TRSM_NUM_UPD_5_1_0
72,5,chol_block,TRSM_5_2,SCALAR_DIV|VECTOR_MAC,3,6.00,2.00,4.00,1.00,TRSM_DIV_5_2|TRSM_NUM_UPD_5_2_0|TRSM_NUM_UPD_5_2_1
73,5,chol_block,TRSM_5_3,SCALAR_DIV|VECTOR_MAC,4,7.00,1.75,4.00,1.00,TRSM_DIV_5_3|TRSM_NUM_UPD_5_3_0|TRSM_NUM_UPD_5_3_1|TRSM_NUM_UPD_5_3_2
74,5,chol_block,TRSM_5_4,SCALAR_DIV|VECTOR_MAC,5,8.00,1.60,4.00,1.00,TRSM_DIV_5_4|TRSM_NUM_UPD_5_4_0|TRSM_NUM_UPD_5_4_1|TRSM_NUM_UPD_5_4_2|TRSM_NUM_UPD_5_4_3
75,6,chol_block,FWD_COL_0_ROW_6,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_6_0|FWD_OFF_UPD_6_0
76,6,chol_block,FWD_COL_1_ROW_6,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_6_1|FWD_OFF_UPD_6_1
77,6,chol_block,FWD_COL_2_ROW_6,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_6_2|FWD_OFF_UPD_6_2
78,6,chol_block,FWD_COL_3_ROW_6,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_6_3|FWD_OFF_UPD_6_3
79,6,chol_block,FWD_COL_4_ROW_6,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_6_4|FWD_OFF_UPD_6_4
80,6,chol_block,FWD_COL_5_ROW_6,SCALAR_DIV|VECTOR_MAC,2,5.00,2.50,4.00,1.00,FWD_OFF_MAC_6_5|FWD_OFF_UPD_6_5
81,6,chol_block,FWD_COL_6,SCALAR_DIV,1,4.00,4.00,4.00,4.00,FWD_DIAG_INV_6
82,6,chol_block,POTRF_DIAG_6,SCALAR_SQRT,1,4.00,4.00,4.00,4.00,POTRF_DIAG_SQRT_6
83,6,chol_block,POTRF_DIAG_A_6_6,VECTOR_MAC,6,6.00,1.00,1.00,1.00,POTRF_DIAG_UPD_6_0|POTRF_DIAG_UPD_6_1|POTRF_DIAG_UPD_6_2|POTRF_DIAG_UPD_6_3|POTRF_DIAG_UPD_6_4|POTRF_DIAG_UPD_6_5
