step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
36,2,chol_block,RK_UPDATE_A_2_7,RK_UPDATE_2_7_0,SubMul,VECTOR_MAC,"A_{2,7} = A_{2,7} - L_{2,0}L_{7,0}",2,1.00,CHOL_RK_UPDATE_2_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
37,2,chol_block,RK_UPDATE_A_2_7,RK_UPDATE_2_7_1,SubMul,VECTOR_MAC,"A_{2,7} = A_{2,7} - L_{2,1}L_{7,1}",2,1.00,CHOL_RK_UPDATE_2_7_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
38,2,chol_block,TRSM_2_0,TRSM_DIV_2_0,Div,SCALAR_DIV,"L_{2,0} = A_{2,0}/L_{0,0}",2*2,4.00,CHOL_TRSM_DIV_2_0,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
39,2,chol_block,TRSM_2_1,TRSM_DIV_2_1,Div,SCALAR_DIV,"L_{2,1} = A_{2,1}/L_{1,1}",2*2,4.00,CHOL_TRSM_DIV_2_1,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
40,2,chol_block,TRSM_2_1,TRSM_NUM_UPD_2_1_0,SubMul,VECTOR_MAC,"A_{2,1} = A_{2,1} - L_{2,0}L_{1,0}",2,1.00,CHOL_TRSM_NUM_UPD_2_1_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
41,3,chol_block,FWD_COL_3,FWD_DIAG_INV_3,Div,SCALAR_DIV,"Y_{3} = 1/L_{3,3}",2*2,4.00,CHOL_FWD_DIAG_INV_3,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
42,3,chol_block,FWD_COL_0_ROW_3,FWD_OFF_MAC_3_0,SubMul,VECTOR_MAC,"T_{3,0} = Y_{3,:} - L_{3,:}Y_:",2,1.00,CHOL_FWD_OFF_MAC_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
43,3,chol_block,FWD_COL_1_ROW_3,FWD_OFF_MAC_3_1,SubMul,VECTOR_MAC,"T_{3,1} = Y_{3,:} - L_{3,:}Y_:",2,1.00,CHOL_FWD_OFF_MAC_3_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
44,3,chol_block,FWD_COL_2_ROW_3,FWD_OFF_MAC_3_2,SubMul,VECTOR_MAC,"T_{3,2} = Y_{3,:} - L_{3,:}Y_:",2,1.00,CHOL_FWD_OFF_MAC_3_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
45,3,chol_block,FWD_COL_0_ROW_3,FWD_OFF_UPD_3_0,Div,SCALAR_DIV,"Y_{3,0} = T_{3,0}/L_{3,3}",2*2,4.00,CHOL_FWD_OFF_UPD_3_0,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
46,3,chol_block,FWD_COL_1_ROW_3,FWD_OFF_UPD_3_1,Div,SCALAR_DIV,"Y_{3,1} = T_{3,1}/L_{3,3}",2*2,4.00,CHOL_FWD_OFF_UPD_3_1,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
47,3,chol_block,FWD_COL_2_ROW_3,FWD_OFF_UPD_3_2,Div,SCALAR_DIV,"Y_{3,2} = T_{3,2}/L_{3,3}",2*2,4.00,CHOL_FWD_OFF_UPD_3_2,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
48,3,chol_block,POTRF_DIAG_3,POTRF_DIAG_SQRT_3,Sqrt,SCALAR_SQRT,L_diag_3 = sqrt(A_diag_3),2*2,4.00,CHOL_POTRF_DIAG_SQRT_3,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
49,3,chol_block,POTRF_DIAG_A_3_3,POTRF_DIAG_UPD_3_0,SubMul,VECTOR_MAC,"A_{3,3} = A_{3,3} - L_{3,0}^2",2,1.00,CHOL_POTRF_DIAG_UPD_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
50,3,chol_block,POTRF_DIAG_A_3_3,POTRF_DIAG_UPD_3_1,SubMul,VECTOR_MAC,"A_{3,3} = A_{3,3} - L_{3,1}^2",2,1.00,CHOL_POTRF_DIAG_UPD_3_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
51,3,chol_block,POTRF_DIAG_A_3_3,POTRF_DIAG_UPD_3_2,SubMul,VECTOR_MAC,"A_{3,3} = A_{3,3} - L_{3,2}^2",2,1.00,CHOL_POTRF_DIAG_UPD_3_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
52,3,chol_block,RK_UPDATE_A_3_3,RK_UPDATE_3_3_0,SubMul,VECTOR_MAC,"A_{3,3} = A_{3,3} - L_{3,0}L_{3,0}",2,1.00,CHOL_RK_UPDATE_3_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
53,3,chol_block,RK_UPDATE_A_3_3,RK_UPDATE_3_3_1,SubMul,VECTOR_MAC,"A_{3,3} = A_{3,3} - L_{3,1}L_{3,1}",2,1.00,CHOL_RK_UPDATE_3_3_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
54,3,chol_block,RK_UPDATE_A_3_3,RK_UPDATE_3_3_2,SubMul,VECTOR_MAC,"A_{3,3} = A_{3,3} - L_{3,2}L_{3,2}",2,1.00,CHOL_RK_UPDATE_3_3_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
55,3,chol_block,RK_UPDATE_A_3_4,RK_UPDATE_3_4_0,SubMul,VECTOR_MAC,"A_{3,4} = A_{3,4} - L_{3,0}L_{4,0}",2,1.00,CHOL_RK_UPDATE_3_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
