step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
25,2,chol_block,POTRF_DIAG_A_2_2,POTRF_DIAG_UPD_2_1,SubMul,VECTOR_MAC,"A_{2,2} = A_{2,2} - L_{2,1}^2",2,1.00,CHOL_POTRF_DIAG_UPD_2_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
26,2,chol_block,RK_UPDATE_A_2_2,RK_UPDATE_2_2_0,SubMul,VECTOR_MAC,"A_{2,2} = A_{2,2} - L_{2,0}L_{2,0}",2,1.00,CHOL_RK_UPDATE_2_2_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
27,2,chol_block,RK_UPDATE_A_2_2,RK_UPDATE_2_2_1,SubMul,VECTOR_MAC,"A_{2,2} = A_{2,2} - L_{2,1}L_{2,1}",2,1.00,CHOL_RK_UPDATE_2_2_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
28,2,chol_block,RK_UPDATE_A_2_3,RK_UPDATE_2_3_0,SubMul,VECTOR_MAC,"A_{2,3} = A_{2,3} - L_{2,0}L_{3,0}",2,1.00,CHOL_RK_UPDATE_2_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
29,2,chol_block,RK_UPDATE_A_2_3,RK_UPDATE_2_3_1,SubMul,VECTOR_MAC,"A_{2,3} = A_{2,3} - L_{2,1}L_{3,1}",2,1.00,CHOL_RK_UPDATE_2_3_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
30,2,chol_block,RK_UPDATE_A_2_4,RK_UPDATE_2_4_0,SubMul,VECTOR_MAC,"A_{2,4} = A_{2,4} - L_{2,0}L_{4,0}",2,1.00,CHOL_RK_UPDATE_2_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
31,2,chol_block,RK_UPDATE_A_2_4,RK_UPDATE_2_4_1,SubMul,VECTOR_MAC,"A_{2,4} = A_{2,4} - L_{2,1}L_{4,1}",2,1.00,CHOL_RK_UPDATE_2_4_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
32,2,chol_block,RK_UPDATE_A_2_5,RK_UPDATE_2_5_0,SubMul,VECTOR_MAC,"A_{2,5} = A_{2,5} - L_{2,0}L_{5,0}",2,1.00,CHOL_RK_UPDATE_2_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
33,2,chol_block,RK_UPDATE_A_2_5,RK_UPDATE_2_5_1,SubMul,VECTOR_MAC,"A_{2,5} = A_{2,5} - L_{2,1}L_{5,1}",2,1.00,CHOL_RK_UPDATE_2_5_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
34,2,chol_block,RK_UPDATE_A_2_6,RK_UPDATE_2_6_0,SubMul,VECTOR_MAC,"A_{2,6} = A_{2,6} - L_{2,0}L_{6,0}",2,1.00,CHOL_RK_UPDATE_2_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
35,2,chol_block,RK_UPDATE_A_2_6,RK_UPDATE_2_6_1,SubMul,VECTOR_MAC,"A_{2,6} = A_{2,6} - L_{2,1}L_{6,1}",2,1.00,CHOL_RK_UPDATE_2_6_1,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
