step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
46,2,ldl_block,BWD_OFF_2_3,BWD_OFF_MUL_2_3_0,MatMul,MATMUL,"T_{2,3}^0 = L @ X",2*(U-3*2)*2,1.00,LDL_BWD_OFF_MUL_2_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
47,2,ldl_block,BWD_OFF_2_4,BWD_OFF_MUL_2_4_0,MatMul,MATMUL,"T_{2,4}^0 = L @ X",2*(U-3*2)*2,1.00,LDL_BWD_OFF_MUL_2_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
48,2,ldl_block,BWD_OFF_2_5,BWD_OFF_MUL_2_5_0,MatMul,MATMUL,"T_{2,5}^0 = L @ X",2*(U-3*2)*2,1.00,LDL_BWD_OFF_MUL_2_5_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
49,2,ldl_block,BWD_OFF_2_6,BWD_OFF_MUL_2_6_0,MatMul,MATMUL,"T_{2,6}^0 = L @ X",2*(U-3*2)*2,1.00,LDL_BWD_OFF_MUL_2_6_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
50,2,ldl_block,BWD_OFF_2_7,BWD_OFF_MUL_2_7_0,MatMul,MATMUL,"T_{2,7}^0 = L @ X",2*(U-3*2)*2,1.00,LDL_BWD_OFF_MUL_2_7_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
51,2,ldl_block,D_BLOCK_2,D_DIAG_INV_2,Div,SCALAR_DIV,Dinv_{2} = 1 / D_{2},2*2,4.00,LDL_D_DIAG_INV_2,Core0_Scalar|Core10_Scalar|Core11_Scalar|Core12_Scalar|Core13_Scalar|Core14_Scalar|Core15_Scalar|Core16_Scalar|Core17_Scalar|Core18_Scalar|Core19_Scalar|Core1_Scalar|Core20_Scalar|Core21_Scalar|Core22_Scalar|Core23_Scalar|Core2_Scalar|Core3_Scalar|Core4_Scalar|Core5_Scalar|Core6_Scalar|Core7_Scalar|Core8_Scalar|Core9_Scalar
52,2,ldl_block,D_BLOCK_2,D_INV_MUL_2,Mul,VECTOR_MUL,DinvBlk_{2} = D_{2} * Dinv_{2},2*2,1.00,LDL_D_INV_MUL_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
53,2,ldl_block,D_BLOCK_2,D_UPDATE_2,SubMul,VECTOR_MAC,"D_{2} = A_{2,2} - L D L^T",2*16*2,1.00,LDL_D_UPDATE_2,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
54,2,ldl_block,L_UPDATE_2_1,L_UPDATE_2_1_PACK2,MatMul,MATMUL,"L_{2,1} = A_{2,1} @ Dinv_{1}",4*4*4*4,32.00,LDL_L_UPDATE_2_1_PACK2,Core0_Cube|Core10_Cube|Core11_Cube|Core12_Cube|Core13_Cube|Core14_Cube|Core15_Cube|Core16_Cube|Core17_Cube|Core18_Cube|Core19_Cube|Core1_Cube|Core20_Cube|Core21_Cube|Core22_Cube|Core23_Cube|Core2_Cube|Core3_Cube|Core4_Cube|Core5_Cube|Core6_Cube|Core7_Cube|Core8_Cube|Core9_Cube
55,3,ldl_block,BWD_DIAG_3,BWD_DIAG_ACC_3_0,Add,VECTOR_ADD,"X_{3,3}^0 = Dinv + T_{3,3}^0",2*2,1.00,LDL_BWD_DIAG_ACC_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
56,3,ldl_block,BWD_DIAG_3,BWD_DIAG_MUL_3_0,MatMul,MATMUL,"T_{3,3}^0 = L @ X",2*(U-4*2)*2,1.00,LDL_BWD_DIAG_MUL_3_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
57,3,ldl_block,BWD_OFF_3_4,BWD_OFF_ACC_3_4_0,Add,VECTOR_ADD,"X_{3,4}^0 = X_{3,4} + T_{3,4}^0",2*2,1.00,LDL_BWD_OFF_ACC_3_4_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
