major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
34,1,ldl_noblock,D_BLOCK_1,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_1|D_INV_MUL_1|D_UPDATE_1
35,1,ldl_noblock,L_UPDATE_1_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_1_0_PACK1
36,2,ldl_noblock,BWD_DIAG_2,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_2_0|BWD_DIAG_MUL_2_0
37,2,ldl_noblock,BWD_OFF_2_10,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_10_0|BWD_OFF_MUL_2_10_0
38,2,ldl_noblock,BWD_OFF_2_11,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_11_0|BWD_OFF_MUL_2_11_0
39,2,ldl_noblock,BWD_OFF_2_12,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_12_0|BWD_OFF_MUL_2_12_0
40,2,ldl_noblock,BWD_OFF_2_13,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_13_0|BWD_OFF_MUL_2_13_0
41,2,ldl_noblock,BWD_OFF_2_14,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_14_0|BWD_OFF_MUL_2_14_0
42,2,ldl_noblock,BWD_OFF_2_15,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_15_0|BWD_OFF_MUL_2_15_0
43,2,ldl_noblock,BWD_OFF_2_3,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_3_0|BWD_OFF_MUL_2_3_0
44,2,ldl_noblock,BWD_OFF_2_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_4_0|BWD_OFF_MUL_2_4_0
45,2,ldl_noblock,BWD_OFF_2_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_5_0|BWD_OFF_MUL_2_5_0
46,2,ldl_noblock,BWD_OFF_2_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_6_0|BWD_OFF_MUL_2_6_0
47,2,ldl_noblock,BWD_OFF_2_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_7_0|BWD_OFF_MUL_2_7_0
48,2,ldl_noblock,BWD_OFF_2_8,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_8_0|BWD_OFF_MUL_2_8_0
49,2,ldl_noblock,BWD_OFF_2_9,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_2_9_0|BWD_OFF_MUL_2_9_0
50,2,ldl_noblock,D_BLOCK_2,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_2|D_INV_MUL_2|D_UPDATE_2
51,2,ldl_noblock,L_UPDATE_2_0,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_2_0_PACK1
52,2,ldl_noblock,L_UPDATE_2_1,MATMUL,1,1.00,1.00,1.00,1.00,L_UPDATE_2_1_PACK1
53,3,ldl_noblock,BWD_DIAG_3,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_3_0|BWD_DIAG_MUL_3_0
