major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
36,4,ldl_block,BWD_DIAG_4,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_4_0|BWD_DIAG_MUL_4_0
37,4,ldl_block,BWD_OFF_4_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_5_0|BWD_OFF_MUL_4_5_0
38,4,ldl_block,BWD_OFF_4_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_6_0|BWD_OFF_MUL_4_6_0
39,4,ldl_block,BWD_OFF_4_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_4_7_0|BWD_OFF_MUL_4_7_0
40,4,ldl_block,D_BLOCK_4,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_4|D_INV_MUL_4|D_UPDATE_4
41,4,ldl_block,L_UPDATE_4_1,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_4_1_PACK2
42,4,ldl_block,L_UPDATE_4_3,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_4_3_PACK2
43,5,ldl_block,BWD_DIAG_5,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_DIAG_ACC_5_0|BWD_DIAG_MUL_5_0
44,5,ldl_block,BWD_OFF_5_6,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_6_0|BWD_OFF_MUL_5_6_0
45,5,ldl_block,BWD_OFF_5_7,MATMUL|VECTOR_ADD,2,2.00,1.00,1.00,1.00,BWD_OFF_ACC_5_7_0|BWD_OFF_MUL_5_7_0
46,5,ldl_block,D_BLOCK_5,SCALAR_DIV|VECTOR_MAC|VECTOR_MUL,3,6.00,2.00,4.00,1.00,D_DIAG_INV_5|D_INV_MUL_5|D_UPDATE_5
47,5,ldl_block,L_UPDATE_5_0,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_5_0_PACK2
48,5,ldl_block,L_UPDATE_5_2,MATMUL,1,32.00,32.00,32.00,32.00,L_UPDATE_5_2_PACK2
