step_idx,event_name,unit_types,count,cycle_median,cycle_mean,cycle_max,cycle_min,cycle_sum,start_min,end_max
1504,CHOL_NB_TRSM_NUM_UPD_14_11_3,Vector,96,1.00,1.00,1,1,96,3120,13184
1505,CHOL_NB_TRSM_NUM_UPD_14_11_4,Vector,96,1.00,1.00,1,1,96,3122,13186
1506,CHOL_NB_TRSM_NUM_UPD_14_11_5,Vector,96,1.00,1.00,1,1,96,3124,13188
1507,CHOL_NB_TRSM_NUM_UPD_14_11_6,Vector,96,1.00,1.00,1,1,96,3126,13190
1508,CHOL_NB_TRSM_NUM_UPD_14_11_7,Vector,96,1.00,1.00,1,1,96,3128,13192
1509,CHOL_NB_TRSM_NUM_UPD_14_11_8,Vector,96,1.00,1.00,1,1,96,3130,13194
1510,CHOL_NB_TRSM_NUM_UPD_14_11_9,Vector,96,1.00,1.00,1,1,96,3132,13196
1511,CHOL_NB_TRSM_NUM_UPD_14_12_0,Vector,96,1.00,1.00,1,1,96,3241,13310
1512,CHOL_NB_TRSM_NUM_UPD_14_12_1,Vector,96,1.00,1.00,1,1,96,3243,13312
1513,CHOL_NB_TRSM_NUM_UPD_14_12_10,Vector,96,1.00,1.00,1,1,96,3261,13330
1514,CHOL_NB_TRSM_NUM_UPD_14_12_11,Vector,96,1.00,1.00,1,1,96,3263,13332
1515,CHOL_NB_TRSM_NUM_UPD_14_12_2,Vector,96,1.00,1.00,1,1,96,3245,13314
1516,CHOL_NB_TRSM_NUM_UPD_14_12_3,Vector,96,1.00,1.00,1,1,96,3247,13316
1517,CHOL_NB_TRSM_NUM_UPD_14_12_4,Vector,96,1.00,1.00,1,1,96,3249,13318
1518,CHOL_NB_TRSM_NUM_UPD_14_12_5,Vector,96,1.00,1.00,1,1,96,3251,13320
1519,CHOL_NB_TRSM_NUM_UPD_14_12_6,Vector,96,1.00,1.00,1,1,96,3253,13322
1520,CHOL_NB_TRSM_NUM_UPD_14_12_7,Vector,96,1.00,1.00,1,1,96,3255,13324
1521,CHOL_NB_TRSM_NUM_UPD_14_12_8,Vector,96,1.00,1.00,1,1,96,3257,13326
1522,CHOL_NB_TRSM_NUM_UPD_14_12_9,Vector,96,1.00,1.00,1,1,96,3259,13328
1523,CHOL_NB_TRSM_NUM_UPD_14_13_0,Vector,96,1.00,1.00,1,1,96,3340,13409
1524,CHOL_NB_TRSM_NUM_UPD_14_13_1,Vector,96,1.00,1.00,1,1,96,3342,13411
1525,CHOL_NB_TRSM_NUM_UPD_14_13_10,Vector,96,1.00,1.00,1,1,96,3360,13429
1526,CHOL_NB_TRSM_NUM_UPD_14_13_11,Vector,96,1.00,1.00,1,1,96,3362,13431
1527,CHOL_NB_TRSM_NUM_UPD_14_13_12,Vector,96,1.00,1.00,1,1,96,3364,13433
1528,CHOL_NB_TRSM_NUM_UPD_14_13_2,Vector,96,1.00,1.00,1,1,96,3344,13413
1529,CHOL_NB_TRSM_NUM_UPD_14_13_3,Vector,96,1.00,1.00,1,1,96,3346,13415
1530,CHOL_NB_TRSM_NUM_UPD_14_13_4,Vector,96,1.00,1.00,1,1,96,3348,13417
1531,CHOL_NB_TRSM_NUM_UPD_14_13_5,Vector,96,1.00,1.00,1,1,96,3350,13419
1532,CHOL_NB_TRSM_NUM_UPD_14_13_6,Vector,96,1.00,1.00,1,1,96,3352,13421
1533,CHOL_NB_TRSM_NUM_UPD_14_13_7,Vector,96,1.00,1.00,1,1,96,3354,13423
1534,CHOL_NB_TRSM_NUM_UPD_14_13_8,Vector,96,1.00,1.00,1,1,96,3356,13425
1535,CHOL_NB_TRSM_NUM_UPD_14_13_9,Vector,96,1.00,1.00,1,1,96,3358,13427
1536,CHOL_NB_TRSM_NUM_UPD_14_1_0,Vector,96,1.00,1.00,1,1,96,744,10036
1537,CHOL_NB_TRSM_NUM_UPD_14_2_0,Vector,96,1.00,1.00,1,1,96,1041,11105
1538,CHOL_NB_TRSM_NUM_UPD_14_2_1,Vector,96,1.00,1.00,1,1,96,1043,11107
1539,CHOL_NB_TRSM_NUM_UPD_14_3_0,Vector,96,1.00,1.00,1,1,96,1330,11394
1540,CHOL_NB_TRSM_NUM_UPD_14_3_1,Vector,96,1.00,1.00,1,1,96,1332,11396
1541,CHOL_NB_TRSM_NUM_UPD_14_3_2,Vector,96,1.00,1.00,1,1,96,1334,11398
1542,CHOL_NB_TRSM_NUM_UPD_14_4_0,Vector,96,1.00,1.00,1,1,96,1609,11673
1543,CHOL_NB_TRSM_NUM_UPD_14_4_1,Vector,96,1.00,1.00,1,1,96,1611,11675
1544,CHOL_NB_TRSM_NUM_UPD_14_4_2,Vector,96,1.00,1.00,1,1,96,1613,11677
1545,CHOL_NB_TRSM_NUM_UPD_14_4_3,Vector,96,1.00,1.00,1,1,96,1615,11679
1546,CHOL_NB_TRSM_NUM_UPD_14_5_0,Vector,96,1.00,1.00,1,1,96,1876,11940
1547,CHOL_NB_TRSM_NUM_UPD_14_5_1,Vector,96,1.00,1.00,1,1,96,1878,11942
1548,CHOL_NB_TRSM_NUM_UPD_14_5_2,Vector,96,1.00,1.00,1,1,96,1880,11944
1549,CHOL_NB_TRSM_NUM_UPD_14_5_3,Vector,96,1.00,1.00,1,1,96,1882,11946
1550,CHOL_NB_TRSM_NUM_UPD_14_5_4,Vector,96,1.00,1.00,1,1,96,1884,11948
1551,CHOL_NB_TRSM_NUM_UPD_14_6_0,Vector,96,1.00,1.00,1,1,96,2129,12193
1552,CHOL_NB_TRSM_NUM_UPD_14_6_1,Vector,96,1.00,1.00,1,1,96,2131,12195
1553,CHOL_NB_TRSM_NUM_UPD_14_6_2,Vector,96,1.00,1.00,1,1,96,2133,12197
1554,CHOL_NB_TRSM_NUM_UPD_14_6_3,Vector,96,1.00,1.00,1,1,96,2135,12199
1555,CHOL_NB_TRSM_NUM_UPD_14_6_4,Vector,96,1.00,1.00,1,1,96,2137,12201
1556,CHOL_NB_TRSM_NUM_UPD_14_6_5,Vector,96,1.00,1.00,1,1,96,2139,12203
1557,CHOL_NB_TRSM_NUM_UPD_14_7_0,Vector,96,1.00,1.00,1,1,96,2366,12430
1558,CHOL_NB_TRSM_NUM_UPD_14_7_1,Vector,96,1.00,1.00,1,1,96,2368,12432
1559,CHOL_NB_TRSM_NUM_UPD_14_7_2,Vector,96,1.00,1.00,1,1,96,2370,12434
1560,CHOL_NB_TRSM_NUM_UPD_14_7_3,Vector,96,1.00,1.00,1,1,96,2372,12436
1561,CHOL_NB_TRSM_NUM_UPD_14_7_4,Vector,96,1.00,1.00,1,1,96,2374,12438
1562,CHOL_NB_TRSM_NUM_UPD_14_7_5,Vector,96,1.00,1.00,1,1,96,2376,12440
1563,CHOL_NB_TRSM_NUM_UPD_14_7_6,Vector,96,1.00,1.00,1,1,96,2378,12442
1564,CHOL_NB_TRSM_NUM_UPD_14_8_0,Vector,96,1.00,1.00,1,1,96,2585,12649
1565,CHOL_NB_TRSM_NUM_UPD_14_8_1,Vector,96,1.00,1.00,1,1,96,2587,12651
1566,CHOL_NB_TRSM_NUM_UPD_14_8_2,Vector,96,1.00,1.00,1,1,96,2589,12653
1567,CHOL_NB_TRSM_NUM_UPD_14_8_3,Vector,96,1.00,1.00,1,1,96,2591,12655
1568,CHOL_NB_TRSM_NUM_UPD_14_8_4,Vector,96,1.00,1.00,1,1,96,2593,12657
1569,CHOL_NB_TRSM_NUM_UPD_14_8_5,Vector,96,1.00,1.00,1,1,96,2595,12659
1570,CHOL_NB_TRSM_NUM_UPD_14_8_6,Vector,96,1.00,1.00,1,1,96,2597,12661
1571,CHOL_NB_TRSM_NUM_UPD_14_8_7,Vector,96,1.00,1.00,1,1,96,2599,12663
1572,CHOL_NB_TRSM_NUM_UPD_14_9_0,Vector,96,1.00,1.00,1,1,96,2784,12848
1573,CHOL_NB_TRSM_NUM_UPD_14_9_1,Vector,96,1.00,1.00,1,1,96,2786,12850
1574,CHOL_NB_TRSM_NUM_UPD_14_9_2,Vector,96,1.00,1.00,1,1,96,2788,12852
1575,CHOL_NB_TRSM_NUM_UPD_14_9_3,Vector,96,1.00,1.00,1,1,96,2790,12854
1576,CHOL_NB_TRSM_NUM_UPD_14_9_4,Vector,96,1.00,1.00,1,1,96,2792,12856
1577,CHOL_NB_TRSM_NUM_UPD_14_9_5,Vector,96,1.00,1.00,1,1,96,2794,12858
1578,CHOL_NB_TRSM_NUM_UPD_14_9_6,Vector,96,1.00,1.00,1,1,96,2796,12860
1579,CHOL_NB_TRSM_NUM_UPD_14_9_7,Vector,96,1.00,1.00,1,1,96,2798,12862
1580,CHOL_NB_TRSM_NUM_UPD_14_9_8,Vector,96,1.00,1.00,1,1,96,2800,12864
1581,CHOL_NB_TRSM_NUM_UPD_15_10_0,Vector,96,1.00,1.00,1,1,96,2983,13047
1582,CHOL_NB_TRSM_NUM_UPD_15_10_1,Vector,96,1.00,1.00,1,1,96,2985,13049
1583,CHOL_NB_TRSM_NUM_UPD_15_10_2,Vector,96,1.00,1.00,1,1,96,2987,13051
1584,CHOL_NB_TRSM_NUM_UPD_15_10_3,Vector,96,1.00,1.00,1,1,96,2989,13053
1585,CHOL_NB_TRSM_NUM_UPD_15_10_4,Vector,96,1.00,1.00,1,1,96,2991,13055
1586,CHOL_NB_TRSM_NUM_UPD_15_10_5,Vector,96,1.00,1.00,1,1,96,2993,13057
1587,CHOL_NB_TRSM_NUM_UPD_15_10_6,Vector,96,1.00,1.00,1,1,96,2995,13059
1588,CHOL_NB_TRSM_NUM_UPD_15_10_7,Vector,96,1.00,1.00,1,1,96,2997,13061
1589,CHOL_NB_TRSM_NUM_UPD_15_10_8,Vector,96,1.00,1.00,1,1,96,2999,13063
1590,CHOL_NB_TRSM_NUM_UPD_15_10_9,Vector,96,1.00,1.00,1,1,96,3001,13065
1591,CHOL_NB_TRSM_NUM_UPD_15_11_0,Vector,96,1.00,1.00,1,1,96,3138,13202
1592,CHOL_NB_TRSM_NUM_UPD_15_11_1,Vector,96,1.00,1.00,1,1,96,3140,13204
1593,CHOL_NB_TRSM_NUM_UPD_15_11_10,Vector,96,1.00,1.00,1,1,96,3158,13222
1594,CHOL_NB_TRSM_NUM_UPD_15_11_2,Vector,96,1.00,1.00,1,1,96,3142,13206
1595,CHOL_NB_TRSM_NUM_UPD_15_11_3,Vector,96,1.00,1.00,1,1,96,3144,13208
1596,CHOL_NB_TRSM_NUM_UPD_15_11_4,Vector,96,1.00,1.00,1,1,96,3146,13210
1597,CHOL_NB_TRSM_NUM_UPD_15_11_5,Vector,96,1.00,1.00,1,1,96,3148,13212
1598,CHOL_NB_TRSM_NUM_UPD_15_11_6,Vector,96,1.00,1.00,1,1,96,3150,13214
1599,CHOL_NB_TRSM_NUM_UPD_15_11_7,Vector,96,1.00,1.00,1,1,96,3152,13216
1600,CHOL_NB_TRSM_NUM_UPD_15_11_8,Vector,96,1.00,1.00,1,1,96,3154,13218
1601,CHOL_NB_TRSM_NUM_UPD_15_11_9,Vector,96,1.00,1.00,1,1,96,3156,13220
1602,CHOL_NB_TRSM_NUM_UPD_15_12_0,Vector,96,1.00,1.00,1,1,96,3267,13336
1603,CHOL_NB_TRSM_NUM_UPD_15_12_1,Vector,96,1.00,1.00,1,1,96,3269,13338
1604,CHOL_NB_TRSM_NUM_UPD_15_12_10,Vector,96,1.00,1.00,1,1,96,3287,13356
1605,CHOL_NB_TRSM_NUM_UPD_15_12_11,Vector,96,1.00,1.00,1,1,96,3289,13358
1606,CHOL_NB_TRSM_NUM_UPD_15_12_2,Vector,96,1.00,1.00,1,1,96,3271,13340
1607,CHOL_NB_TRSM_NUM_UPD_15_12_3,Vector,96,1.00,1.00,1,1,96,3273,13342
1608,CHOL_NB_TRSM_NUM_UPD_15_12_4,Vector,96,1.00,1.00,1,1,96,3275,13344
1609,CHOL_NB_TRSM_NUM_UPD_15_12_5,Vector,96,1.00,1.00,1,1,96,3277,13346
1610,CHOL_NB_TRSM_NUM_UPD_15_12_6,Vector,96,1.00,1.00,1,1,96,3279,13348
1611,CHOL_NB_TRSM_NUM_UPD_15_12_7,Vector,96,1.00,1.00,1,1,96,3281,13350
1612,CHOL_NB_TRSM_NUM_UPD_15_12_8,Vector,96,1.00,1.00,1,1,96,3283,13352
1613,CHOL_NB_TRSM_NUM_UPD_15_12_9,Vector,96,1.00,1.00,1,1,96,3285,13354
1614,CHOL_NB_TRSM_NUM_UPD_15_13_0,Vector,96,1.00,1.00,1,1,96,3368,13437
