snr_db,ber_exact_mmse,ber_ldl,se_exact_mmse,se_ldl,recon_error
0.0,0.0,0.0,90.2012363222121,90.2012363222121,1.155362752616242e-16
5.0,0.0,0.0,116.35143186840834,116.35143186840834,1.1676488274003317e-16
10.0,0.0,0.0,142.82389017316265,142.8238901731627,1.165492792344409e-16
15.0,0.0,0.0,169.31815898846332,169.31815898846332,1.174423789520656e-16
20.0,0.0,0.0,195.93814049329026,195.93814049329026,1.1666648708580537e-16
