case,wall_cycles,work_cycles_sum,overlap_factor_sum_div_wall,avg_parallelism_proxy,wall_speed_vs_ldl
deepunfold_opt_256x32,6370.0,29321742.0,4603.099215070643,4603.099215070643,0.45653264530925247
deepunfold_256x32,6921.0,30398792.0,4392.254298511776,4392.254298511776,0.4960223607826274
ldl_256x32,13953.0,12487766.0,894.9878879094101,894.9878879094101,1.0
cholesky_256x32,102419.0,13207316.0,128.95376834376435,128.95376834376435,7.340285243316849
