case,events_total,dur_total,mte2_events,mte2_dur,mte3_events,mte3_dur,mte_dur_total,mte_ratio,movin_events,movout_events,mte_ratio_pct
deepunfold_256x32,67392,30398792.0,55296,29068302.0,3072,1199642.0,30267944.0,0.9956956184311534,0,0,99.56956184311534
ldl_256x32,67008,12487766.0,27648,10702992.0,3072,1209446.0,11912438.0,0.9539286690669893,0,0,95.39286690669893
