case,events_total,dur_total,mte2_events,mte3_events,cube_events,vector_events,mte2_dur,mte3_dur,cube_dur,vector_dur,mte_total_dur,mte_ratio,mte_ratio_pct,speed_vs_ldl
ldl_256x32,67008,12487766.0,27648,3072,16704,19584,10702992.0,1209446.0,550848.0,24480.0,11912438.0,0.9539286690669893,95.39286690669893,1.0
deepunfold_256x32,67392,30398792.0,55296,3072,2592,6432,29068302.0,1199642.0,117216.0,13632.0,30267944.0,0.9956956184311534,99.56956184311534,2.434285844241476
deepunfold_opt_256x32,61440,29321742.0,52224,3072,2592,3552,28128189.0,1067601.0,117216.0,8736.0,29195790.0,0.9957044844061448,99.57044844061448,2.348037431194659
