snr_db,ber_cholesky,ber_ldl,ber_bj_deepunfold,se_cholesky,se_ldl,se_bj_deepunfold,ber_gap_bj_vs_chol,se_gap_bj_vs_chol
0.0,0.2569376627604167,0.2579074435763889,0.2569376627604167,31.94248137861676,32.00628576844396,31.942529831137165,0.0,4.845252040652781e-05
5.0,0.10660807291666667,0.1080050998263889,0.10662163628472222,54.69854829372304,54.771891605760544,54.69861125817959,1.3563368055552472e-05,6.296445654641047e-05
10.0,0.010579427083333334,0.010945638020833334,0.010586208767361112,80.0525928501325,80.11969971615363,80.0526693696883,6.7816840277779705e-06,7.651955580456615e-05
15.0,3.390842013888889e-05,5.425347222222222e-05,3.390842013888889e-05,106.22911728975387,106.26408923713436,106.22918730298228,0.0,7.001322840949342e-05
20.0,0.0,0.0,0.0,132.70314744494556,132.63038685492293,132.70319361211617,0.0,4.6167170609123787e-05
